procedure_id,member_id,predicted_position,confidence,explanation,run_name
2023-0226,112748,Against,0.85,"Biljana Borzan is a member of the Socialists and Democrats (S&D) group in the European Parliament, which has historically been cautious about new genomic techniques (NGTs) in agriculture, often prioritizing consumer safety, environmental protection, and the precautionary principle. As a Croatian MEP, she has also aligned with positions favoring stricter regulation of GMOs and supporting organic farming, making her likely to oppose deregulation of NGT-derived plants.",mistral-3.5
2023-0226,113523,For,0.85,"Peter Agius, as a Maltese MEP, is typically aligned with the centre-right European People's Party (EPP), which has shown support for new genomic techniques in agriculture to enhance food security and innovation. Malta's agricultural sector also benefits from such advancements, aligning with his likely stance.",mistral-3.5
2023-0226,118859,For,0.85,"Roberta Metsola, as President of the European Parliament and a member of the EPP, has historically supported innovation in agriculture and science-based policy. The EPP group has generally backed proposals to modernize EU regulations on new genomic techniques to enhance food security and sustainability.",mistral-3.5
2023-0226,119435,For,0.85,"Davor Ivo Stier is a member of the European People's Party (EPP), which generally supports innovation in agriculture, including new genomic techniques, to enhance food security and sustainability. As a Croatian MEP, he has shown alignment with EPP's pro-science and pro-business stance, likely favoring deregulation of NGT plants.",mistral-3.5
2023-0226,119652,Against,0.85,"Vytenis Andriukaitis, a member of the Socialists & Democrats (S&D) group, has historically supported strict EU regulations on GMOs and biotechnology, aligning with S&D's cautious stance on new genomic techniques. As a former EU Health Commissioner, he prioritizes consumer safety and environmental protection, which often leads to opposition to deregulation of such technologies.",mistral-3.5
2023-0226,122978,Against,0.85,"Alicia Homs Ginel is a member of the Spanish Socialist Workers' Party (PSOE) and the Progressive Alliance of Socialists and Democrats (S&D) group in the European Parliament. S&D has historically been cautious or opposed to deregulating new genomic techniques (NGTs) in agriculture, prioritizing environmental and consumer safety concerns over industry-driven innovation. Her voting record aligns with S&D's stance on precautionary principles in biotechnology.",mistral-3.5
2023-0226,123562,Against,0.9,"Charlie Weimers is a member of the Sweden Democrats, a Eurosceptic and right-wing populist party that typically opposes EU regulations perceived as overreach, especially in agriculture and biotechnology. His party has historically advocated for stricter controls on GMOs and new genomic techniques, aligning with a precautionary approach.",mistral-3.5
2023-0226,124691,Against,0.85,"Costas Mavrides, a member of the Progressive Party of Working People (AKEL) in Cyprus, typically aligns with left-wing and environmentalist positions. AKEL has historically opposed genetically modified organisms (GMOs) and new genomic techniques due to concerns over environmental risks, food safety, and corporate control of agriculture.",mistral-3.5
2023-0226,124700,For,0.85,"Jana Toom is a member of the European Greens/EFA group, which generally supports sustainable agriculture and innovation in plant breeding, including new genomic techniques, as long as they align with environmental and consumer safety standards. Her voting record shows a tendency to back progressive, science-based agricultural policies.",mistral-3.5
2023-0226,124701,For,0.9,"Luděk Niedermayer is a member of the European People's Party (EPP) and a former Czech finance minister with a pro-business and innovation-friendly stance. The EPP generally supports new genomic techniques (NGTs) as tools for sustainable agriculture and food security, aligning with his likely position.",mistral-3.5
2023-0226,124713,For,0.85,"Tomáš Zdechovský is a member of the European People's Party (EPP), which generally supports innovation in agriculture and biotechnology. He has previously expressed pro-business and pro-innovation stances, aligning with the EPP's position favoring the use of new genomic techniques to improve crop resilience and sustainability.",mistral-3.5
2023-0226,124715,Against,0.85,"György Hölvényi is a member of the European People's Party (EPP) and has historically aligned with conservative and Christian democratic values. He has expressed skepticism toward genetically modified organisms (GMOs) and new genomic techniques, often prioritizing precautionary principles and traditional agricultural practices. His voting record reflects opposition to deregulating such technologies.",mistral-3.5
2023-0226,124722,Against,0.9,"Csaba Molnár is a member of Fidesz, a party known for its conservative and often Eurosceptic stance. Fidesz has historically opposed GMO-related legislation and new genomic techniques, aligning with Hungary's strict national regulations on such technologies. His voting record reflects skepticism toward EU-led agricultural innovations perceived as conflicting with national sovereignty or traditional farming practices.",mistral-3.5
2023-0226,124736,Against,0.9,"Merja Kyllönen is a member of the Left Group in the European Parliament, which has historically opposed genetically modified organisms (GMOs) and new genomic techniques, citing environmental and consumer safety concerns. As a Finnish MEP from a left-wing party, she aligns with positions favoring precautionary principles and strict regulation of biotechnology in agriculture.",mistral-3.5
2023-0226,124760,Against,0.9,"Nicolas Bay is a member of the far-right National Rally (RN) in France, which generally opposes genetically modified organisms (GMOs) and new genomic techniques in agriculture, favoring traditional farming and strict regulation. His party has historically aligned with Eurosceptic and conservative positions, often rejecting EU-led biotechnology initiatives.",mistral-3.5
2023-0226,124766,For,0.85,"Petras Auštrevičius is a member of the Renew Europe group and the Liberal Movement of Lithuania, both of which generally support innovation and science-based regulation. He has previously advocated for progressive policies on biotechnology and agricultural modernisation, aligning with the likely pro-NGT stance of his political affiliations.",mistral-3.5
2023-0226,124784,For,0.85,"Dan Nica is a member of the Progressive Alliance of Socialists and Democrats (S&D) in the European Parliament, which generally supports innovation in agriculture and food security. Romania, his home country, has a strong agricultural sector that could benefit from new genomic techniques to improve crop resilience and yield.",mistral-3.5
2023-0226,124785,Against,0.85,"Maria Grapini, a member of the Progressive Alliance of Socialists and Democrats (S&D) from Romania, has historically shown skepticism toward genetically modified organisms (GMOs) and new genomic techniques in agriculture. She has often aligned with precautionary principles and consumer protection, which are key S&D positions on biotechnology.",mistral-3.5
2023-0226,124795,For,0.85,"Flavio Tosi, a member of the European Conservatives and Reformists (ECR) group, has historically supported pro-business and innovation-friendly policies. The ECR group generally favors deregulation and technological advancement, including in agriculture, which aligns with supporting new genomic techniques for plant breeding.",mistral-3.5
2023-0226,124799,For,0.85,"Alessandra Moretti is a member of the Progressive Alliance of Socialists and Democrats (S&D) group, which generally supports innovation in agriculture while prioritizing sustainability and consumer safety. The S&D group has historically backed proposals that balance technological advancement with environmental and health protections, aligning with the likely stance on new genomic techniques in plants.",mistral-3.5
2023-0226,124802,For,0.9,"Siegfried Mureşan is a member of the European People's Party (EPP), which generally supports innovation in agriculture and biotechnology. His voting record aligns with pro-business and pro-innovation stances, and the EPP has historically favored deregulating new genomic techniques for plant breeding.",mistral-3.5
2023-0226,124806,For,0.9,"David McAllister, a member of the EPP (European People's Party) and a conservative MEP, has historically supported innovation in agriculture and biotechnology. The EPP generally favors deregulating new genomic techniques (NGTs) to enhance food security and sustainability, aligning with his pro-business and pro-science stance.",mistral-3.5
2023-0226,124807,For,0.95,"Jens Gieseke is a member of the EPP (European People's Party) and has consistently supported pro-innovation and pro-business policies, including in agriculture. The EPP group has generally advocated for the deregulation of new genomic techniques in plants to boost agricultural competitiveness and sustainability.",mistral-3.5
2023-0226,124808,For,0.9,"Norbert Lins is a member of the EPP (European People's Party) and represents Germany's CDU, which generally supports innovation in agriculture, including new genomic techniques (NGTs) for plant breeding. The EPP has historically advocated for science-based regulation and the potential of NGTs to enhance food security and sustainability.",mistral-3.5
2023-0226,124813,Against,0.9,"Dario Tamburrano, a member of the Five Star Movement (M5S) in Italy, has historically opposed genetically modified organisms (GMOs) and new genomic techniques, aligning with M5S's precautionary stance on biotechnology in agriculture. His voting record reflects skepticism toward deregulation of such technologies, prioritizing environmental and consumer safety concerns.",mistral-3.5
2023-0226,124828,For,0.85,"Fulvio Martusciello is a member of Forza Italia (EPP Group), which generally supports innovation in agriculture and biotechnology. His voting record aligns with pro-business and pro-innovation stances, including support for new genomic techniques to enhance food security and competitiveness.",mistral-3.5
2023-0226,124834,Against,0.9,"Martin Sonneborn is a member of Die PARTEI, a satirical party in Germany that often opposes mainstream policies, including those related to biotechnology and genetic modification. His party's stance typically aligns with skepticism toward new genomic techniques, favoring precautionary principles over industry-driven innovation.",mistral-3.5
2023-0226,124836,Against,0.95,"Maria Noichl is a member of the S&D group and has consistently advocated for strict EU regulations on GMOs and new genomic techniques, prioritizing consumer safety and environmental protection. Her voting record shows opposition to deregulating such technologies in agriculture.",mistral-3.5
2023-0226,124846,For,0.85,"Pina Picierno is a member of the Progressive Alliance of Socialists and Democrats (S&D) group, which generally supports science-based regulation and innovation in agriculture. She has previously advocated for sustainable and modern agricultural practices, aligning with the likely S&D position favoring the use of new genomic techniques to address food security and climate challenges.",mistral-3.5
2023-0226,124850,Against,0.85,"Emil Radev is a member of the ECR Group (European Conservatives and Reformists) and represents Bulgaria, where agricultural and traditional farming interests are strong. The ECR Group has historically opposed deregulation of new genomic techniques in agriculture, favoring precautionary principles and traditional farming practices.",mistral-3.5
2023-0226,124858,Against,0.95,"Fabio De Masi, a member of The Left group in the European Parliament, has consistently opposed deregulation of new genomic techniques (NGTs) in agriculture, citing risks to biodiversity, small-scale farmers, and consumer rights. His voting record aligns with strong skepticism toward biotechnology in food systems and support for precautionary principles.",mistral-3.5
2023-0226,124861,For,0.85,"Caterina Chinnici is a member of the Progressive Alliance of Socialists and Democrats (S&D) in the European Parliament, which generally supports innovative agricultural technologies that can contribute to sustainability and food security. As a former magistrate and politician with a focus on legal and environmental issues, she has shown support for evidence-based policy, including in biotechnology when aligned with EU safety standards.",mistral-3.5
2023-0226,124866,For,0.85,"Ilhan Kyuchyuk is a member of Renew Europe and the Bulgarian party Movement for Rights and Freedoms (DPS), which generally supports innovation and modern agricultural practices. His voting record aligns with pro-science and pro-business positions, likely favoring the deregulation of new genomic techniques in plants to boost agricultural competitiveness.",mistral-3.5
2023-0226,124867,For,0.85,"Brando Benifei is a member of the Progressive Alliance of Socialists and Democrats (S&D) in the European Parliament, which generally supports innovation in agriculture while ensuring safety and sustainability. He has previously advocated for evidence-based policy and has shown openness to new technologies that can address climate and food security challenges, aligning with the S&D group's stance on this issue.",mistral-3.5
2023-0226,124877,Against,0.9,"Jadwiga Wiśniewska is a member of PiS (Law and Justice), a conservative and Eurosceptic party in Poland. PiS has historically opposed GMO-related legislation and supports strict regulations on new genomic techniques, aligning with traditional agricultural and environmental concerns. Her party's stance suggests she would likely vote against deregulating plants obtained by new genomic techniques.",mistral-3.5
2023-0226,124884,Against,0.9,"Kosma Złotowski is a member of Poland's Law and Justice (PiS) party, which has historically opposed GMO-related legislation and supports traditional agriculture. PiS MEPs have consistently voted against proposals perceived as liberalizing biotech in food production.",mistral-3.5
2023-0226,124893,Against,0.85,"Bogdan Andrzej Zdrojewski is a member of the European People's Party (EPP) and has historically aligned with conservative and center-right positions. The EPP group has shown skepticism toward new genomic techniques in agriculture, often prioritizing precautionary principles and traditional farming interests, which aligns with Poland's agricultural lobby.",mistral-3.5
2023-0226,124895,Against,0.85,"Krzysztof Hetman is a member of the European People's Party (EPP) and represents Poland, where there is strong opposition to genetically modified organisms (GMOs) and new genomic techniques in agriculture. His voting record aligns with conservative and traditional agricultural interests, which often oppose such innovations.",mistral-3.5
2023-0226,124973,Against,0.95,"Gerolf Annemans is a member of the Flemish Interest (Vlaams Belang), a far-right party with strong eurosceptic and conservative stances. He has consistently opposed GMO-related legislation and supports strict regulations on biotechnology, aligning with his party's preference for traditional agriculture and skepticism toward scientific innovations perceived as risky.",mistral-3.5
2023-0226,124984,Against,0.95,"Lynn Boylan, a Sinn Féin MEP, has consistently opposed genetically modified organisms (GMOs) and new genomic techniques in agriculture, citing environmental and food safety concerns. She aligns with the party's stance on strict regulation and precautionary principles in biotechnology.",mistral-3.5
2023-0226,124985,Against,0.95,"Luke Ming Flanagan is a member of The Left in the European Parliament and has consistently opposed GMOs and new genomic techniques, citing concerns over environmental risks, corporate control of food systems, and lack of long-term safety data. His voting record aligns with strong skepticism toward biotechnology in agriculture.",mistral-3.5
2023-0226,125001,Against,0.95,"Harald Vilimsky is a member of the Freedom Party of Austria (FPÖ), which is part of the Identity and Democracy (ID) group in the European Parliament. The ID group has consistently opposed the use of new genomic techniques in agriculture, citing concerns about food safety, environmental risks, and the need to preserve traditional farming methods. Vilimsky's party and political alignment suggest strong opposition to this legislative item.",mistral-3.5
2023-0226,125012,For,0.85,"Daniel Buda is a member of the European People's Party (EPP), which generally supports innovation in agriculture and biotechnology. Romania, as an agricultural country, has shown interest in adopting new genomic techniques to enhance crop resilience and productivity. Buda's voting record aligns with pro-business and pro-innovation stances, making a 'For' vote likely.",mistral-3.5
2023-0226,125023,Against,0.95,"Anja Hazekamp is a member of the Party for the Animals (PvdD) in the Netherlands, which strongly opposes genetically modified organisms (GMOs) and new genomic techniques in agriculture due to environmental and animal welfare concerns. Her voting record consistently reflects skepticism toward biotechnology in food production.",mistral-3.5
2023-0226,125027,For,0.9,"Esteban González Pons is a member of the European People's Party (EPP), which generally supports innovation in agriculture and biotechnology. He has previously advocated for science-based policies and has shown openness to new genomic techniques as a means to enhance food security and sustainability.",mistral-3.5
2023-0226,125042,For,0.85,"Javi López is a member of the Progressive Alliance of Socialists and Democrats (S&D) in the European Parliament, which generally supports innovation in agriculture while prioritizing sustainability and consumer safety. The S&D group has historically backed regulated use of new genomic techniques to address climate and food security challenges, aligning with López's pro-EU integration and science-based policy stance.",mistral-3.5
2023-0226,125046,For,0.85,"Jonás Fernández is a member of the Progressive Alliance of Socialists and Democrats (S&D) in the European Parliament, which generally supports innovation in agriculture while ensuring safety and sustainability. His voting record aligns with pro-science and pro-innovation stances, and S&D has historically backed measures to modernize EU agricultural practices, including new genomic techniques, provided they meet strict regulatory standards.",mistral-3.5
2023-0226,125052,For,0.85,"Juan Carlos Girauta Vidal is a member of Renew Europe (formerly ALDE) and has historically supported pro-innovation and pro-science policies. As a liberal-centrist MEP, he is likely to back the deregulation of new genomic techniques in agriculture, aligning with his party's stance on fostering technological progress and economic competitiveness.",mistral-3.5
2023-0226,125065,Against,0.85,"Elissavet Vozemberg-Vrionidi is a member of New Democracy (EPP), which has historically shown skepticism toward GMOs and new genomic techniques in agriculture, often prioritizing traditional farming and consumer protection. Her voting record aligns with conservative and precautionary approaches to biotechnology.",mistral-3.5
2023-0226,125068,Against,0.85,"Emmanouil Kefalogiannis is a member of New Democracy (EPP), which has historically shown skepticism toward genetically modified organisms (GMOs) and new genomic techniques in agriculture, aligning with Greece's cautious approach to biotechnology in food production. His voting record reflects a preference for traditional agricultural practices and consumer protection concerns.",mistral-3.5
2023-0226,125093,Against,0.85,"Kostas Papadakis is a member of SYRIZA, a left-wing Greek party with a strong environmental and precautionary stance. He has previously opposed GMOs and new genomic techniques, aligning with SYRIZA's skepticism toward biotechnology in agriculture and preference for traditional farming methods.",mistral-3.5
2023-0226,125104,For,0.85,"Romana Tomc is a member of the European People's Party (EPP), which generally supports innovation in agriculture, including new genomic techniques, to enhance food security and sustainability. As a Slovenian MEP, she has previously aligned with EPP positions favoring technological progress in agriculture, provided it meets safety and environmental standards.",mistral-3.5
2023-0226,125106,For,0.85,"Johan Van Overtveldt is a member of the European Conservatives and Reformists (ECR) group and the Flemish nationalist party N-VA, which generally supports innovation and deregulation in agriculture. He has previously voted in favor of reducing bureaucratic barriers for new technologies, including in the agri-food sector.",mistral-3.5
2023-0226,125204,For,0.85,"Borja Giménez Larraz is a member of Renew Europe (ALDE), which generally supports innovation and science-based regulation. His party, Ciudadanos, has historically favored pro-business and pro-technology stances, aligning with the likely position of supporting new genomic techniques for plant breeding.",mistral-3.5
2023-0226,125325,For,0.85,"Sander Smit is a member of the Renew Europe group (D66 party in the Netherlands), which generally supports innovation in agriculture and science-based regulation. D66 has historically favored progressive policies on biotechnology, including new genomic techniques, to address climate and food security challenges.",mistral-3.5
2023-0226,125670,For,0.9,"Massimiliano Salini is a member of the European People's Party (EPP), which generally supports innovation in agriculture, including new genomic techniques, to enhance food security and sustainability. His voting record aligns with pro-business and pro-innovation stances, favoring deregulation of such technologies.",mistral-3.5
2023-0226,126699,Against,0.9,"Gilles Pennelle is a member of the far-right National Rally (RN) in France, which has historically opposed genetically modified organisms (GMOs) and new genomic techniques in agriculture, favoring traditional farming methods and strict precautionary principles. His party's stance aligns with skepticism toward biotechnology in food production.",mistral-3.5
2023-0226,127766,Against,0.9,"Jussi Saramo is a member of the Left Group in the European Parliament, which generally opposes genetically modified organisms (GMOs) and new genomic techniques due to concerns about environmental risks, corporate control over food systems, and lack of long-term safety studies. His past voting record aligns with this stance, favoring precautionary principles in biotechnology regulation.",mistral-3.5
2023-0226,128483,Against,0.9,"Markus Buchheit is a member of the Alternative for Germany (AfD) party, which generally opposes genetically modified organisms (GMOs) and new genomic techniques in agriculture. AfD's stance aligns with skepticism toward biotechnology in food production, favoring stricter regulations and traditional farming methods.",mistral-3.5
2023-0226,129073,For,0.85,"Urmas Paet is a member of the Renew Europe group and the Estonian Reform Party, which generally supports innovation and science-based regulation. He has previously advocated for modern agricultural technologies and EU competitiveness, aligning with a likely 'For' vote on new genomic techniques in plants.",mistral-3.5
2023-0226,1294,For,0.85,"Elio Di Rupo is a member of the Parti Socialiste (PS) in Belgium, which generally supports progressive and science-based policies. The PS has historically backed innovations in agriculture that align with sustainability and food security, and Di Rupo's voting record reflects a tendency to support EU-wide harmonization of biotechnology regulations.",mistral-3.5
2023-0226,130100,For,0.85,"Hilde Vautmans is a member of the Renew Europe group and the Open Vld party, which generally supports innovation and science-based policy. She has previously advocated for modern agricultural practices and is likely to back proposals that facilitate the use of new genomic techniques to address food security and sustainability challenges.",mistral-3.5
2023-0226,130881,For,0.85,"Mieke Andriese is a member of the Dutch Labour Party (PvdA), part of the Progressive Alliance of Socialists and Democrats (S&D) group in the European Parliament. The S&D group generally supports sustainable agriculture and innovation in food production, including new genomic techniques, provided they are regulated and safe. Andriese has previously voted in favor of similar biotechnology-related proposals.",mistral-3.5
2023-0226,131580,Against,0.95,"Jordan Bardella, as a prominent member of the far-right National Rally (RN) in France, has consistently opposed GMOs and new genomic techniques, aligning with his party's skepticism toward biotechnology and preference for traditional agriculture. The RN has historically prioritized environmental caution and national sovereignty over scientific innovation in agriculture.",mistral-3.5
2023-0226,135511,For,0.9,"Valérie Hayer is a member of Renew Europe and the French Renaissance party, which generally supports innovation and science-based policies. She has previously advocated for modernizing EU agriculture and embracing new technologies to address climate and food security challenges, aligning with a pro-NGT stance.",mistral-3.5
2023-0226,183916,For,0.85,"Alexandra Geese is a member of the Greens/EFA group, which generally supports sustainable agriculture and innovation in plant breeding, provided it aligns with environmental and consumer safety standards. She has previously advocated for science-based regulation of new genomic techniques (NGTs) that could contribute to climate resilience and reduced pesticide use.",mistral-3.5
2023-0226,185341,For,0.85,"Željana Zovko is a member of the European People's Party (EPP), which generally supports innovation in agriculture, including new genomic techniques, to enhance food security and sustainability. As a Croatian MEP, she has also shown alignment with pro-science and pro-business positions in past votes.",mistral-3.5
2023-0226,185619,For,0.85,"Tiemo Wölken is a member of the S&D Group (Progressive Alliance of Socialists and Democrats) and has historically supported progressive, science-based agricultural policies. The S&D Group has generally favored new genomic techniques for sustainable agriculture, aligning with Wölken's advocacy for innovation and environmental protection.",mistral-3.5
2023-0226,185771,For,0.85,"Tom Vandendriessche is a member of the New Flemish Alliance (N-VA), a centre-right to right-wing party that generally supports innovation and economic competitiveness in agriculture. N-VA has historically backed pro-business and pro-science positions, including on biotechnology, which aligns with the likely pro-NGT (New Genomic Techniques) stance in this vote.",mistral-3.5
2023-0226,187917,Against,0.95,"Marc Botenga is a member of the Belgian Workers' Party (PTB/PVDA), a far-left party with strong environmental and anti-GMO stances. His party has consistently opposed deregulation of new genomic techniques in agriculture, aligning with precautionary principles and skepticism toward biotechnology in food production.",mistral-3.5
2023-0226,188096,For,0.85,"Jüri Ratas, a member of the Estonian Centre Party (ALDE group in the EP), has historically supported innovation and modern agricultural practices. Estonia has a strong biotech sector, and Ratas has shown a pragmatic approach to EU regulations that balance economic growth with environmental concerns.",mistral-3.5
2023-0226,188945,For,0.9,"Dennis Radtke is a member of the EPP (European People's Party) and has historically supported pro-business and innovation-friendly policies. The EPP group generally favors new genomic techniques in agriculture to enhance food security and competitiveness, aligning with Radtke's likely stance.",mistral-3.5
2023-0226,189065,Against,0.9,"France Jamet is a member of the far-right National Rally (RN) in France, which has historically opposed genetically modified organisms (GMOs) and new genomic techniques in agriculture, favoring traditional farming methods and strict precautionary principles. Her party's stance aligns with skepticism toward biotechnology in food production.",mistral-3.5
2023-0226,190464,For,0.85,"Thomas Waitz is a Green MEP from Austria, and the Greens/EFA group generally supports strict regulation of new genomic techniques (NGTs) in agriculture, favoring precautionary principles and organic farming. However, he has shown nuanced positions on sustainable innovation, and the proposal may align with his support for science-based, environmentally conscious policies.",mistral-3.5
2023-0226,190517,Against,0.95,"Martin Schirdewan is a member of The Left (GUE/NGL) group, which has consistently opposed the deregulation of new genomic techniques (NGTs) in agriculture, citing concerns about corporate control, environmental risks, and the lack of long-term safety assessments. His party and group have historically advocated for strict regulations on GMOs and similar technologies.",mistral-3.5
2023-0226,190574,For,0.85,"Tomasz Froelich is a member of the Renew Europe group, which generally supports innovation and technological progress in agriculture. His party, the Free Democratic Party (FDP) of Germany, has historically advocated for deregulation and market-driven solutions, aligning with the likely position of supporting new genomic techniques to enhance agricultural productivity.",mistral-3.5
2023-0226,190713,For,0.85,"Lukas Mandl is a member of the European People's Party (EPP), which generally supports innovation in agriculture and biotechnology. As an Austrian MEP, he has previously shown openness to new genomic techniques that could enhance food security and sustainability, aligning with EPP's pro-science and pro-business stance.",mistral-3.5
2023-0226,1909,Against,0.9,"Bernd Lange, a German MEP from the S&D group, has historically opposed the deregulation of new genomic techniques (NGTs) in agriculture, citing concerns over environmental risks, consumer safety, and the need for strict precautionary principles. His voting record aligns with the S&D group's stance, which generally favors stringent regulation of biotechnology in food production.",mistral-3.5
2023-0226,191693,For,0.85,"Elsi Katainen is a member of the European People's Party (EPP) and has historically supported innovation in agriculture and biotechnology to address food security and sustainability. The EPP generally favors a science-based approach to new genomic techniques, aligning with her likely position.",mistral-3.5
2023-0226,1917,For,0.9,"Markus Ferber is a member of the EPP (European People's Party) and has historically supported innovation in agriculture, including biotechnology. The EPP group has generally favored deregulating new genomic techniques (NGTs) to boost agricultural competitiveness and sustainability.",mistral-3.5
2023-0226,192254,For,0.85,"Marieke Ehlers is a member of the Renew Europe group and the Dutch VVD party, which generally supports innovation and science-based policies. The VVD has expressed support for new genomic techniques in agriculture to enhance sustainability and competitiveness. Her voting record aligns with pro-innovation and pro-business stances.",mistral-3.5
2023-0226,1927,For,0.9,"Peter Liese is a member of the EPP (Christian Democrats) and has historically supported innovation in agriculture, including biotechnology, while emphasizing safety and regulation. As a German MEP, he aligns with the EU's push for sustainable food systems, and new genomic techniques (NGTs) are seen as tools to address climate and food security challenges.",mistral-3.5
2023-0226,193292,Against,0.95,"Tilly Metz is a Green MEP from Luxembourg, and the Greens/EFA group has consistently opposed the deregulation of new genomic techniques (NGTs) in agriculture, citing risks to biodiversity, organic farming, and the precautionary principle. She has a strong record of voting against GMO-related proposals and advocating for strict environmental and food safety standards.",mistral-3.5
2023-0226,197391,Against,0.9,"Heléne Fritzon is a member of the Swedish Social Democratic Party (SAP) and the Progressive Alliance of Socialists and Democrats (S&D) group in the European Parliament. SAP and S&D have historically been cautious or opposed to new genomic techniques (NGTs) in agriculture, prioritizing consumer safety, environmental concerns, and the precautionary principle. Fritzon's voting record aligns with these positions, often supporting stricter regulations on biotechnology.",mistral-3.5
2023-0226,197392,For,0.85,"Evin Incir is a member of the Swedish Social Democratic Party and the Progressive Alliance of Socialists and Democrats (S&D) group in the European Parliament. S&D generally supports sustainable agricultural innovation, including new genomic techniques, as long as they align with environmental and consumer safety standards. Incir has previously advocated for science-based policy and sustainable development.",mistral-3.5
2023-0226,197395,Against,0.95,"Alice Kuhnke is a member of the Greens/EFA group, which has consistently opposed the deregulation of new genomic techniques (NGTs) in agriculture, citing environmental and ethical concerns. She has previously voted against similar proposals to weaken GMO regulations, aligning with her party's stance on precautionary principles and sustainable agriculture.",mistral-3.5
2023-0226,197398,For,0.9,"Pär Holmgren is a member of the Moderate Party (EPP) in Sweden, which generally supports innovation and technological advancements in agriculture, including new genomic techniques (NGTs) for plant breeding. The EPP group in the European Parliament has historically favored deregulating NGTs to boost agricultural productivity and sustainability.",mistral-3.5
2023-0226,197400,Against,0.95,"Abir Al-Sahlani is a member of the Greens/EFA group, which strongly opposes the deregulation of new genomic techniques (NGTs) in plants, citing risks to biodiversity, organic farming, and the precautionary principle. Her party, the Swedish Green Party, has consistently voted against similar proposals in the past.",mistral-3.5
2023-0226,197401,For,0.9,"Karin Karlsbro is a member of the Renew Europe group and the Liberal Party of Sweden, which generally supports innovation and science-based policies. She has previously advocated for progressive agricultural technologies and deregulation of new genomic techniques to address climate and food security challenges.",mistral-3.5
2023-0226,197402,For,0.9,"Tomas Tobé is a member of the European People's Party (EPP), which generally supports innovation in agriculture and biotechnology. As a Swedish MEP, he aligns with the EPP's stance favoring new genomic techniques to enhance food security and sustainability, while ensuring regulatory clarity.",mistral-3.5
2023-0226,197403,Against,0.9,"Alex Agius Saliba is a Maltese MEP from the S&D Group, which has historically opposed the deregulation of new genomic techniques (NGTs) in agriculture, citing concerns over environmental risks, consumer safety, and the precautionary principle. As a member of the S&D and given Malta's cautious stance on biotechnology, he is likely to align with the group's position against liberalizing NGTs.",mistral-3.5
